Date,STELLANTIS
14/01/2025,12.100
15/01/2025,12.330
16/01/2025,12.208
17/01/2025,12.550
20/01/2025,12.848
21/01/2025,12.652
22/01/2025,12.700
23/01/2025,12.662
24/01/2025,12.794
27/01/2025,12.982
28/01/2025,12.830
29/01/2025,12.870
30/01/2025,13.030
31/01/2025,12.962
03/02/2025,12.376
04/02/2025,12.610
05/02/2025,12.550
06/02/2025,12.674
07/02/2025,12.532
10/02/2025,12.628
11/02/2025,12.662
12/02/2025,12.674
13/02/2025,13.250
14/02/2025,13.424
17/02/2025,13.432
18/02/2025,13.558
19/02/2025,13.332
20/02/2025,13.334
21/02/2025,13.488
24/02/2025,13.470
25/02/2025,13.490
26/02/2025,12.944
27/02/2025,12.270
28/02/2025,12.360
03/03/2025,12.328
04/03/2025,11.076
05/03/2025,11.576
06/03/2025,11.816
07/03/2025,11.646
10/03/2025,11.948
11/03/2025,11.324
12/03/2025,11.262
13/03/2025,11.004
14/03/2025,11.274
17/03/2025,11.430
18/03/2025,11.586
19/03/2025,11.620
20/03/2025,11.272
21/03/2025,11.100
24/03/2025,11.316
25/03/2025,11.400
26/03/2025,11.394
27/03/2025,10.912
28/03/2025,10.482
31/03/2025,10.262
01/04/2025,10.284
02/04/2025,10.192
03/04/2025,9.371
04/04/2025,8.776
07/04/2025,8.289
08/04/2025,8.219
09/04/2025,7.770
10/04/2025,7.971
11/04/2025,7.667
14/04/2025,7.814
15/04/2025,8.319
16/04/2025,8.229
17/04/2025,8.291
22/04/2025,7.712
23/04/2025,7.938
24/04/2025,8.128
25/04/2025,8.199
28/04/2025,8.221
29/04/2025,8.301
30/04/2025,8.140
02/05/2025,8.380
05/05/2025,8.378
06/05/2025,8.320
07/05/2025,8.298
08/05/2025,8.711
09/05/2025,8.757
12/05/2025,9.357
13/05/2025,9.768
14/05/2025,9.692
15/05/2025,9.572
16/05/2025,9.572
19/05/2025,9.448
20/05/2025,9.574
21/05/2025,9.535
22/05/2025,9.165
23/05/2025,8.742
26/05/2025,9.180
27/05/2025,9.220
28/05/2025,9.014
29/05/2025,9.066
30/05/2025,8.965
02/06/2025,8.520
03/06/2025,8.740
04/06/2025,8.678
05/06/2025,8.585
06/06/2025,8.673
09/06/2025,8.718
10/06/2025,9.151
11/06/2025,9.028
12/06/2025,8.768
13/06/2025,8.483
16/06/2025,8.539
17/06/2025,8.601
18/06/2025,8.323
