Data	Prezzo	Rendimento	Volume
2024-07-11	18.564	0.0045	7838408
2024-07-12	18.640	0.0041	5976344
2024-07-15	18.656	0.0009	6276745
2024-07-16	18.492	-0.0088	4700960
2024-07-17	18.658	0.0090	6687127
2024-07-18	19.006	0.0187	6830492
2024-07-19	18.584	-0.0222	10311610
2024-07-22	18.814	0.0124	11001404
2024-07-23	18.378	-0.0232	6438554
2024-07-24	18.260	-0.0064	9424527
2024-07-25	16.674	-0.0869	9472522
2024-07-26	16.166	-0.0305	27893601
2024-07-29	15.628	-0.0333	16472184
2024-07-30	15.486	-0.0091	20258647
2024-07-31	15.404	-0.0053	12209407
2024-08-01	15.190	-0.0139	11684362
2024-08-02	14.684	-0.0333	11177101
2024-08-05	14.304	-0.0259	17239386
2024-08-06	14.170	-0.0094	15259641
2024-08-07	14.238	0.0048	13162664
2024-08-08	14.238	0.0000	13932422
2024-08-09	14.064	-0.0122	11812807
2024-08-12	13.980	-0.0060	8319337
2024-08-13	13.878	-0.0073	8981450
2024-08-14	14.096	0.0157	12485369
2024-08-16	14.366	0.0192	9544337
2024-08-19	14.732	0.0255	12131369
2024-08-20	14.734	0.0001	10605882
2024-08-21	14.878	0.0098	11454452
2024-08-22	14.736	-0.0095	8253432
2024-08-23	14.966	0.0156	8052865
2024-08-26	14.934	-0.0021	9052691
2024-08-27	15.020	0.0058	5406405
2024-08-28	14.988	-0.0021	9264016
2024-08-29	15.146	0.0105	8273657
